"sample1.1","sample1.2","sample1.3","sample2.1","sample2.2","sample2.3"
240,15,18,99,32,271
114,119,43,20,101,192
107,41,4,5,15,16
1,19,317,563,920,454
0,4,12,6,0,15
604,378,388,701,692,577
20,64,323,34,177,102
7,0,10,0,16,4
180,64,145,6,154,100
11,18,12,29,24,19
1699,1902,556,440,904,858
0,2,4,0,1,1
5,6,7,9,6,4
3,1,9,1,7,0
0,0,0,1,0,0
88,119,93,236,481,237
16,25,164,164,426,89
88,65,113,76,69,135
14,3,17,686,233,356
0,0,0,0,0,0
488,632,874,1430,1215,1011
0,0,0,0,0,0
274,224,68,130,141,77
1146,1874,1245,1175,222,1113
351,606,88,674,337,327
107,180,129,149,203,225
117,40,307,1062,395,162
498,610,252,1186,635,443
544,558,508,534,514,350
568,429,959,626,632,467
275,465,652,451,423,606
2,3,0,1,1,0
361,138,167,52,59,181
0,417,53,136,141,1719
0,0,0,0,0,0
251,396,488,800,448,510
133,123,178,213,179,128
0,3,0,0,0,0
8,10,29,149,45,77
18,11,35,1,8,3
7,8,4,4,3,4
25,0,1,54,9,8
0,0,0,0,0,0
9,12,11,4,5,7
367,826,1222,712,419,406
39,20,19,33,40,19
0,0,0,0,2,0
0,0,0,0,0,0
124,253,280,209,212,215
61,94,162,163,137,139
47,107,21,86,138,74
42,26,46,87,59,76
1,0,0,0,1,0
0,0,1,0,0,0
636,1549,456,461,216,387
75,112,63,94,69,71
9,6,4,6,7,4
4,7,6,7,6,2
33,38,10,26,35,31
0,3,0,1,0,1
128,9,112,7,7,17
23,6,16,3,26,39
204,376,260,192,166,366
53,87,81,61,69,91
2,1,3,29,49,42
43,408,109,70,89,139
97,254,219,109,189,41
354,116,183,162,113,192
0,0,0,1,1,3
19,33,27,74,111,94
109,242,173,208,262,140
33,16,9,40,11,6
0,0,0,0,0,0
52,44,76,7,7,5
0,0,0,0,0,0
1,0,0,1,0,1
173,86,427,200,130,313
38,61,28,29,59,35
68,80,183,114,264,43
6,98,230,47,0,40
119,210,105,239,145,90
1,0,0,2,4,2
10,26,15,12,18,12
0,0,0,0,0,0
264,694,837,1681,293,1106
33,40,49,46,66,40
0,0,1,0,2,0
0,0,0,1,0,0
3,11,11,17,7,0
304,1050,1009,732,777,833
29,4,23,37,6,42
2514,1452,1146,231,415,420
146,23,40,55,15,4
3,18,3,3,2,4
92,43,64,102,39,91
249,112,488,150,223,249
1,1,2,0,5,4
6,22,18,5,16,13
3,1,2,8,5,6
68,38,43,23,80,58
0,0,0,0,0,1
131,6,45,953,1748,948
0,0,0,0,0,0
152,133,56,56,114,92
48,251,17,38,121,241
38,186,35,11,62,24
501,635,478,329,441,205
0,0,0,0,0,0
4,1,3,1,1,4
7,26,16,14,4,27
4,16,3,5,12,14
18,16,7,0,7,8
1713,1180,806,2881,770,304
125,146,149,135,85,168
972,1288,475,433,1856,1603
2,4,3,2,0,4
253,570,482,581,535,397
2069,2323,576,931,605,956
318,305,554,659,415,27
816,1085,1111,840,364,1216
0,0,0,0,0,0
444,476,98,315,478,238
69,199,89,31,19,32
0,1,0,2,0,0
102,681,675,96,403,462
24,35,26,40,27,42
432,363,361,15,17,14
143,208,225,334,233,168
2,7,0,4,0,8
1347,616,333,422,1309,1589
1699,2210,1970,2757,2674,1825
713,2097,1150,757,2449,481
181,37,52,292,98,115
1204,1254,869,1157,1190,925
239,348,419,774,613,347
0,0,0,0,0,0
4,8,3,6,13,1
92,45,46,85,93,73
4,0,4,2,9,4
97,145,47,579,3721,2282
1,0,3,0,0,0
226,474,252,112,328,347
6,12,4,6,15,8
35,227,8,281,240,127
93,105,89,98,100,90
82,130,110,144,84,115
840,628,726,1001,728,557
17,18,18,19,25,11
1,1,0,4,1,0
4,16,6,17,11,9
103,176,128,130,56,57
2857,1067,474,771,73,1148
16,19,4,3,9,15
33,18,25,31,29,30
115,92,97,41,66,50
1940,56,730,204,707,7
20,12,13,515,255,285
1578,1123,1608,22,57,33
482,2587,999,1134,1280,1140
2,1,0,2,0,2
15,8,37,50,18,72
559,850,623,676,634,545
23,22,13,20,22,14
13,26,16,20,18,20
0,1,0,7,3,0
4,12,13,27,33,9
0,0,2,2,0,2
802,353,861,553,745,522
0,0,0,0,0,0
1,1,1,1,1,1
29,11,14,3,12,30
672,381,961,947,509,796
298,339,126,510,92,617
0,0,0,0,0,0
945,704,551,461,598,837
30,91,37,2236,1391,2722
74,231,149,84,23,41
651,959,845,733,1282,1255
61,18,11,44,1,47
3,3,2,4,2,3
5,25,11,11,4,7
0,1,0,0,0,0
1,1,2,2,2,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,3,0,2,2
376,422,654,43,47,30
34,50,17,30,21,47
3115,5458,4443,32,99,23
1,0,2,0,0,1
93,120,124,77,63,80
120,108,171,244,92,78
756,1450,1457,26,2959,0
255,438,485,423,379,380
22,30,28,15,32,25
10,7,7,5,9,5
177,162,154,179,248,172
161,260,77,166,622,93
26,41,42,20,13,30
11,6,3,2,1,12
99,75,127,26,44,33
508,420,520,725,353,484
13,56,44,46,30,55
0,0,0,0,0,0
81,966,507,157,793,533
6,1,1,1,2,4
